date_key,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
20051110,2005-11-10,10,11,November,4,2005,Thursday,0
20051111,2005-11-11,11,11,November,4,2005,Friday,0
20051112,2005-11-12,12,11,November,4,2005,Saturday,1
20051113,2005-11-13,13,11,November,4,2005,Sunday,1
20051114,2005-11-14,14,11,November,4,2005,Monday,0
20051115,2005-11-15,15,11,November,4,2005,Tuesday,0
20051116,2005-11-16,16,11,November,4,2005,Wednesday,0
20051117,2005-11-17,17,11,November,4,2005,Thursday,0
20051118,2005-11-18,18,11,November,4,2005,Friday,0
20051119,2005-11-19,19,11,November,4,2005,Saturday,1
20051120,2005-11-20,20,11,November,4,2005,Sunday,1
20051121,2005-11-21,21,11,November,4,2005,Monday,0
20051122,2005-11-22,22,11,November,4,2005,Tuesday,0
20051123,2005-11-23,23,11,November,4,2005,Wednesday,0
20051124,2005-11-24,24,11,November,4,2005,Thursday,0
20051125,2005-11-25,25,11,November,4,2005,Friday,0
20051126,2005-11-26,26,11,November,4,2005,Saturday,1
20051127,2005-11-27,27,11,November,4,2005,Sunday,1
20051128,2005-11-28,28,11,November,4,2005,Monday,0
20051129,2005-11-29,29,11,November,4,2005,Tuesday,0
20051130,2005-11-30,30,11,November,4,2005,Wednesday,0
20051201,2005-12-01,1,12,December,4,2005,Thursday,0
20051202,2005-12-02,2,12,December,4,2005,Friday,0
20051203,2005-12-03,3,12,December,4,2005,Saturday,1
20051204,2005-12-04,4,12,December,4,2005,Sunday,1
20051205,2005-12-05,5,12,December,4,2005,Monday,0
20051206,2005-12-06,6,12,December,4,2005,Tuesday,0
20051207,2005-12-07,7,12,December,4,2005,Wednesday,0
20051208,2005-12-08,8,12,December,4,2005,Thursday,0
20051209,2005-12-09,9,12,December,4,2005,Friday,0
20051210,2005-12-10,10,12,December,4,2005,Saturday,1
20051211,2005-12-11,11,12,December,4,2005,Sunday,1
20051212,2005-12-12,12,12,December,4,2005,Monday,0
20051213,2005-12-13,13,12,December,4,2005,Tuesday,0
20051214,2005-12-14,14,12,December,4,2005,Wednesday,0
20051215,2005-12-15,15,12,December,4,2005,Thursday,0
20051216,2005-12-16,16,12,December,4,2005,Friday,0
20051217,2005-12-17,17,12,December,4,2005,Saturday,1
20051218,2005-12-18,18,12,December,4,2005,Sunday,1
20051219,2005-12-19,19,12,December,4,2005,Monday,0
20051220,2005-12-20,20,12,December,4,2005,Tuesday,0
20051221,2005-12-21,21,12,December,4,2005,Wednesday,0
20051222,2005-12-22,22,12,December,4,2005,Thursday,0
20051223,2005-12-23,23,12,December,4,2005,Friday,0
20051224,2005-12-24,24,12,December,4,2005,Saturday,1
20051225,2005-12-25,25,12,December,4,2005,Sunday,1
20051226,2005-12-26,26,12,December,4,2005,Monday,0
20051227,2005-12-27,27,12,December,4,2005,Tuesday,0
20051228,2005-12-28,28,12,December,4,2005,Wednesday,0
20051229,2005-12-29,29,12,December,4,2005,Thursday,0
20051230,2005-12-30,30,12,December,4,2005,Friday,0
20051231,2005-12-31,31,12,December,4,2005,Saturday,1
20060101,2006-01-01,1,1,January,1,2006,Sunday,1
20060102,2006-01-02,2,1,January,1,2006,Monday,0
20060103,2006-01-03,3,1,January,1,2006,Tuesday,0
20060104,2006-01-04,4,1,January,1,2006,Wednesday,0
20060105,2006-01-05,5,1,January,1,2006,Thursday,0
